GW,Location,Particle-size,0,Area,Mean,Min,Max,IntDen,RawIntDen,Genus
GW31100,mesohyl,small,1,"69,968.783",243.096,139,250,"17,009,130.535",14711197,Cinachyrella
GW31100,mesohyl,small,2,"69,968.783",242.428,68,250,"16,962,377.153",14670760,Cinachyrella
GW31100,mesohyl,small,3,"69,968.783",241.566,189,249,"16,902,062.666",14618594,Cinachyrella
GW31100,mesohyl,small,4,"69,968.783",241.402,194,249,"16,890,582.726",14608665,Cinachyrella
GW31100,mesohyl,small,5,"69,968.783",241.252,30,250,"16,880,138.744",14599632,Cinachyrella
GW31100,mesohyl,small,6,"69,968.783",241.197,30,249,"16,876,238.872",14596259,Cinachyrella
GW31100,mesohyl,small,7,"69,968.783",242.868,38,250,"16,993,184.183",14697405,Cinachyrella
GW31100,mesohyl,small,8,"69,968.783",240.895,182,249,"16,855,127.76",14578000,Cinachyrella
GW31100,mesohyl,small,9,"69,968.783",240.609,145,249,"16,835,086.137",14560666,Cinachyrella
GW31100,mesohyl,small,10,"69,968.783",239.298,39,246,"16,743,415.424",14481380,Cinachyrella
GW31100,outerlayer,mix,11,"69,968.783",197.556,0,249,"13,822,751.763",11955298,Cinachyrella
GW31100,outerlayer,mix,12,"69,968.783",231.566,107,251,"16,202,366.748",14013427,Cinachyrella
GW31100,outerlayer,mix,13,"69,968.783",225.521,0,252,"15,779,419.586",13647620,Cinachyrella
GW31100,outerlayer,mix,14,"69,968.783",232.086,95,252,"16,238,797.549",14044936,Cinachyrella
GW31100,outerlayer,mix,15,"69,968.783",238.121,149,252,"16,661,030.177",14410125,Cinachyrella
GW31100,outerlayer,mix,16,"69,968.783",243.91,170,252,"17,066,087.409",14760459,Cinachyrella
GW31100,outerlayer,mix,17,"69,968.783",230.02,0,252,"16,094,217.829",13919889,Cinachyrella
GW31100,outerlayer,mix,18,"69,968.783",223.823,22,251,"15,660,617.412",13544868,Cinachyrella
GW31100,outerlayer,mix,19,"69,968.783",220.747,0,250,"15,445,384.438",13358713,Cinachyrella
GW31100,outerlayer,mix,20,"69,968.783",226.867,32,252,"15,873,610.822",13729086,Cinachyrella
GW31099,mesohyl,small,21,"69,968.783",240.335,99,251,"16,815,955.602",14544120,undefined
GW31099,mesohyl,small,22,"69,968.783",243.409,6,251,"17,031,055.613",14730160,undefined
GW31099,mesohyl,small,23,"69,968.783",242.022,93,251,"16,933,962.308",14646184,undefined
GW31099,mesohyl,small,24,"69,968.783",240.72,214,250,"16,842,883.57",14567410,undefined
GW31099,mesohyl,small,25,"69,968.783",238.104,0,249,"16,659,871.661",14409123,undefined
GW31099,mesohyl,small,26,"69,968.783",238.136,0,251,"16,662,054.573",14411011,undefined
GW31099,mesohyl,small,27,"69,968.783",242.172,103,252,"16,944,458.319",14655262,undefined
GW31099,mesohyl,small,28,"69,968.783",242.359,221,251,"16,957,596.254",14666625,undefined
