GW,Location,Particle-size,0,Area,Mean,Min,Max,IntDen,RawIntDen,Genus
GW31000,skeleton,mix,1,"69,968.783",91.919,15,164,"6,431,489.19","5,562,595",Carteriospongia
GW31000,skeleton,mix,2,"69,968.783",68.398,12,160,"4,785,700.081","4,139,152",Carteriospongia
GW31000,skeleton,mix,3,"69,968.783",88.149,12,148,"6,167,700.312","5,334,444",Carteriospongia
GW31000,skeleton,mix,4,"69,968.783",77.92,12,154,"5,451,936.64","4,715,380",Carteriospongia
GW31000,skeleton,mix,5,"69,968.783",98.941,18,172,"6,922,801.48","5,987,531",Carteriospongia
GW31000,skeleton,mix,6,"69,968.783",86.266,13,162,"6,035,941.727","5,220,486",Carteriospongia
GW31000,skeleton,mix,7,"69,968.783",107.587,21,168,"7,527,707.249","6,510,714",Carteriospongia
GW31000,skeleton,mix,8,"69,968.783",81.084,12,160,"5,673,344.895","4,906,876",Carteriospongia
GW31000,skeleton,mix,9,"69,968.783",89.943,14,170,"6,293,196.901","5,442,986",Carteriospongia
GW31000,skeleton,mix,10,"69,968.783",83.475,13,146,"5,840,657.88","5,051,585",Carteriospongia
GW31000,mesohyl,small,11,"69,968.783",123.539,17,170,"8,643,868.655","7,476,082",Carteriospongia
GW31000,mesohyl,small,12,"69,968.783",131.81,15,181,"9,222,573.708","7,976,604",Carteriospongia
GW31000,mesohyl,small,13,"69,968.783",123.915,18,174,"8,670,176.899","7,498,836",Carteriospongia
GW31000,mesohyl,small,14,"69,968.783",128.882,23,163,"9,017,744.248","7,799,447",Carteriospongia
GW31000,mesohyl,small,15,"69,968.783",132.678,25,159,"9,283,342.583","8,029,163",Carteriospongia
GW31000,mesohyl,small,16,"69,968.783",115.376,20,149,"8,072,724.014","6,982,099",Carteriospongia
GW31000,mesohyl,small,17,"69,968.783",119.805,37,161,"8,382,640.768","7,250,146",Carteriospongia
GW31000,mesohyl,small,18,"69,968.783",110.138,17,147,"7,706,191.467","6,665,085",Carteriospongia
GW31000,mesohyl,small,19,"69,968.783",122.08,27,148,"8,541,777.084","7,387,783",Carteriospongia
GW31000,mesohyl,small,20,"69,968.783",103.955,18,159,"7,273,588.854","6,290,927",Carteriospongia
GW31000,outerlayer,small,21,"69,968.783",60.402,14,153,"4,226,286.276","3,655,315",Carteriospongia
GW31000,outerlayer,small,22,"69,968.783",67.601,15,148,"4,729,994.219","4,090,972",Carteriospongia
GW31000,outerlayer,small,23,"69,968.783",78.305,14,165,"5,478,892.357","4,738,694",Carteriospongia
GW31000,outerlayer,small,24,"69,968.783",95.381,14,164,"6,673,710.256","5,772,092",Carteriospongia
GW31000,outerlayer,small,25,"69,968.783",68.435,14,148,"4,788,287.663","4,141,390",Carteriospongia
GW31000,outerlayer,small,26,"69,968.783",74.754,14,139,"5,230,411.608","4,523,783",Carteriospongia
GW31000,outerlayer,small,27,"69,968.783",83.539,16,155,"5,845,098.855","5,055,426",Carteriospongia
GW31000,outerlayer,small,28,"69,968.783",79.757,15,155,"5,580,506.417","4,826,580",Carteriospongia
GW31000,outerlayer,small,29,"69,968.783",65.701,11,158,"4,596,984.622","3,975,932",Carteriospongia
GW31000,outerlayer,small,30,"69,968.783",76.043,14,170,"5,320,626.662","4,601,810",Carteriospongia
GW31007,skeleton,large,31,"69,968.783",72.982,14,162,"5,106,466.644",4416583,Ircinia_I
GW31007,skeleton,large,32,"69,968.783",72.105,11,175,"5,045,094.231",4363502,Ircinia_I
GW31007,skeleton,large,33,"69,968.783",71.345,12,160,"4,991,943.577",4317532,Ircinia_I
GW31007,skeleton,large,34,"69,968.783",58.899,12,160,"4,121,113.424",3564351,Ircinia_I
GW31007,skeleton,large,35,"69,968.783",75.415,12,160,"5,276,665.51",4563788,Ircinia_I
GW31007,skeleton,large,36,"69,968.783",63.368,13,154,"4,433,808.533",3834801,Ircinia_I
GW31007,skeleton,large,37,"69,968.783",80.492,17,162,"5,631,900.798",4871031,Ircinia_I
GW31007,skeleton,large,38,"69,968.783",71.364,14,151,"4,993,231.587",4318646,Ircinia_I
