Particle_type,Search_type,GW31000,GW31035,GW31041,GW31007,GW31038,GW31039,GW31059,GW31073,GW31076,GW31010,GW31037,GW31044,GW31013,GW31034,GW31043,coralsand
Aragonite,random,71,64,59,66,68,67,61,63,77,52,57,60,69,48,63,59
Calcite,random,13,23,26,30,21,25,23,29,14,29,31,29,22,35,24,28
Mix_ara_cal,random,0,0,3,1,3,0,6,4,1,5,3,2,3,8,6,3
Red_typeI(cal),random,2,2,1,0,0,0,0,1,0,0,0,1,1,0,1,3
Red_typeI_ara,random,1,3,2,0,3,0,1,1,2,1,2,1,0,0,1,0
Red_typeI_cal,random,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
Red_typeII(cal),random,3,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1
Red_typeII_ara,random,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Red_typeII_cal,random,0,0,0,1,0,2,0,1,1,0,1,0,1,1,1,0
Quartz,random,2,0,0,1,0,2,1,1,1,4,3,1,1,1,0,0
Anorthite(feldspar),random,1,0,0,0,0,0,0,0,0,2,0,1,0,3,0,4
Carbonate_phosphate,random,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Quartz-ara,random,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0
Quartz-anatase,random,0,0,0,0,0,0,1,0,0,1,1,2,0,0,1,0
Red_carbonate_phos,random,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anatase,random,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Anatase_anorthite,random,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Anatase_cal,random,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Mixred_typeI_typeII,random,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Riebeckite_deriv,random,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Magnetite,random,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ferrosilite,random,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Hematite,random,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
